,Name,Link,Author,Description,,Content Type,Solution Type Mapping,Reference Architecture Tag,Solution Center Associated,Future Status of Solution,Industries,Language,Category 1,Categories 1a,Categories 1a,OG Categories,Category 2,Category 2a,Category 2a,OG Categories,Category 3,Category 3a,Category 3a,,,,,,,,,Status,Date Published,Date Updated,Updated by
integrating_tasty_bytes_location_recommendation_ml_model_into_the_react_native_data_app_kr,React Native Tasty Bytes ML,https://quickstarts.snowflake.com/guide/integrating_tasty_bytes_location_recommendation_ml_model_into_the_react_native_data_app_kr/index.html,Swathi Jasti,Integrating Tasty Bytes Location Recommendations ML model into the React Native Data Application,Tasty Bytes,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,"AI, Applications & Collaboration",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,Getting Started,,,,App Development,,,,Data Science,ML,,,,,,,Published,"Mar 11, 2024","Jun 17, 2024",sf-gh-sjasti
a_no_code_approach_to_machine_learning_with_snowflake_and_dataiku,A No Code Approach to Machine Learning with Snowflake and Dataiku,https://quickstarts.snowflake.com/guide/a_no_code_approach_to_machine_learning_with_snowflake_and_dataiku/index.html,Stephen Franks,This is an introduction to Dataiku and Snowflake,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,AI,snowflake-site:taxonomy/product/ai,,AI,Partner,,,Partner Integrations,,,,ML,,,,,,,,Published,"May 22, 2024","Jun 20, 2024",Stephen Franks
getting_started_with_snowsql,Getting Started with SnowSQL,https://quickstarts.snowflake.com/guide/getting_started_with_snowsql/index.html,N/A,Getting Started with SnowSQL,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Published,"Mar 22, 2021","Jul 8, 2024",jdanielmyers
vhol_fivetran,Automating Data Pipelines to Drive Marketing Analytics with Snowflake Fivetran,https://quickstarts.snowflake.com/guide/vhol_fivetran/index.html,Snowflake,Automating Data Pipelines to Drive Marketing Analytics with Snowflake & Fivetran,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,Partner,,,Marketing,,,,,,,,,,,,Published,"Apr 5, 2021","Jul 8, 2024",jdanielmyers
automl_with_snowflake_and_datarobot,Accelerating Machine Learning with Snowflake and DataRobot,https://quickstarts.snowflake.com/guide/automl_with_snowflake_and_datarobot/index.html,miles.adkins@snowflake.com,This lab will walk you through how to use Snowflake and DataRobot to perform supervised machine learning.,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,Partner Integrations,"Apps & Collab: External Collaboration, Partner",snowflake-site:taxonomy/snowflake-feature/external-collaboration,,ML,AI - ML Functions,snowflake-site:taxonomy/snowflake-feature/ml-functions,,,,,,,,,,Published,"May 25, 2021","Jul 8, 2024",jdanielmyers
vhol_snowflake_salesforce_tcrm,Enrich Salesforce data with Snowflake to deliver your Customer 360,https://quickstarts.snowflake.com/guide/vhol_snowflake_salesforce_tcrm/index.html,andries.engelbrecht@snowflake.com,"This lab will walk you through how to use Snowflake, Salesforce and Tableau CRM to integrate data, and deliver Customer 360.",,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,"Platform, Data Engineering",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/data-engineering,Partner Integrations,Partner,,,Marketing,,,,,,,,,,,,Published,"Jul 23, 2021","Jul 8, 2024",jdanielmyers
vhol_snowflake_data_wrangler,Data centric Approach to Machine Learning Using Snowflake and Amazon SageMaker Data Wrangler,https://quickstarts.snowflake.com/guide/vhol_snowflake_data_wrangler/index.html,andries.engelbrecht@snowflake.com,This lab will walk you through how to apply a data-centric approach to Machine Learning with Snowflake and Amazon SageMaker.,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/student-loan-default-prediction-using-snowpark-ml-and-aws-sagemaker/,Remove,,en,AI,snowflake-site:taxonomy/product/ai,,Partner Integrations,Partner,,,ML,,,,,,,,,,,,Hidden,"Sep 1, 2021","Jul 8, 2024",jdanielmyers
getting_started_with_user_defined_sql_functions,Getting Started With User Defined SQL Functions,https://quickstarts.snowflake.com/guide/getting_started_with_user_defined_sql_functions/index.html,Jason West,Guide to getting started with user-defined SQL functions,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Published,"Sep 13, 2021","Jul 8, 2024",jdanielmyers
getting_started_with_snowpark_dataframe_api,Getting Started with Snowpark and the Dataframe API,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_dataframe_api/index.html,Robert Fehrmann,Learn how to get started with Jupyter Notebooks on Snowpark and use the DataFrame API.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Published,"Sep 23, 2021","Jul 8, 2024",jdanielmyers
machine_learning_with_aws_autopilot,Snowflake and Amazon SageMaker Autopilot Integration Machine Learning with SQL,https://quickstarts.snowflake.com/guide/machine_learning_with_aws_autopilot/index.html,Snowflake,Snowflake and Amazon SageMaker Autopilot Integration,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, Data Engineering",snowflake-site:taxonomy/product/data-engineering,snowflake-site:taxonomy/product/applications-and-collaboration,Partner Integrations,"Apps & Collab: Build, Partner",snowflake-site:taxonomy/snowflake-feature/build,,ML,,,,,,,,,,,,Hidden,"Nov 18, 2021","Jul 8, 2024",jdanielmyers
getting_started_with_geospatial_geography,Getting Started with Geospatial Geography,https://quickstarts.snowflake.com/guide/getting_started_with_geospatial_geography/index.html,Kevin McGinley,Getting Started with Geospatial - Geography,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Analytics,snowflake-site:taxonomy/product/analytics,,,Analytics: Interactive Analytics,snowflake-site:taxonomy/snowflake-feature/interactive-analytics,,,Analytics - Geospatial,snowflake-site:taxonomy/snowflake-feature/geospatial,,,,,,,,,,Published,"Dec 20, 2021","Jul 8, 2024",jdanielmyers
cdc_data_from_oracle_to_snowflake_in_streamsets,Process Change Data Capture CDC data from Oracle to Snowflake Using StreamSets,https://quickstarts.snowflake.com/guide/cdc_data_from_oracle_to_snowflake_in_streamsets/index.html,Brenna Buuck,CDC Data from Oracle to Snowflake in StreamSets,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Mar 18, 2022","Jul 8, 2024",jdanielmyers
snowflake_transformer,A Dive Into Slowly Changing Dimensions with Snowpark and StreamSets,https://quickstarts.snowflake.com/guide/snowflake_transformer/index.html,"Brenna Buuck, StreamSets",A Dive into Slowly Changing Dimensions with Snowpark,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,Partner,,,,,,,,,,,,,,,Published,"Apr 20, 2022","Jul 8, 2024",jdanielmyers
accelerating_data_teams_with_snowflake_and_dbt_cloud_hands_on_lab,Accelerating Data Teams with Snowflake and dbt Cloud Hands On Lab,https://quickstarts.snowflake.com/guide/accelerating_data_teams_with_snowflake_and_dbt_cloud_hands_on_lab/index.html,"Bobby Birstock, Amy Chen",Build a dbt project and data pipeline with dbt Cloud and Snowflake,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/building-data-engineering-pipelines-with-snowflake/,Remove,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,"DE: Ingestion, Partner",snowflake-site:taxonomy/snowflake-feature/ingestion,,Partner Integrations,,,,Marketing,,,,,,,,Published,"May 13, 2022","Jul 8, 2024",jdanielmyers
cross_cloud_business_continuity,Cross Cloud Business Continuity With Snowflake,https://quickstarts.snowflake.com/guide/cross_cloud_business_continuity/index.html,"Vinay Srihari, Prateek Parashar","This guide demonstrates Snowflake replication, failover and client redirect features for business continuity",business-continuity,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Data Engineering,,,,App Development,,,,,,,,,,,,Published,"Jun 7, 2022","Jul 8, 2024",jdanielmyers
getting_started_with_snowpark_python,Getting Started with Snowpark Python,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_python/index.html,Caleb Baechtold,This is a sample Snowflake Guide,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Hidden,"Jun 8, 2022","Jul 8, 2024",jdanielmyers
machine_learning_with_snowpark_python,Machine Learning with Snowpark Python,https://quickstarts.snowflake.com/guide/machine_learning_with_snowpark_python/index.html,Caleb Baechtold,This is a sample Snowflake Guide,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"AI, Data Engineering",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/data-engineering,Data Science,,,,ML,,,,,,,,,,,,Hidden,"Jun 8, 2022","Jul 8, 2024",jdanielmyers
getting_started_with_snowpark_dataframe_api_kr,Snowpark DataFrame API,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_dataframe_api_kr/index.html,Robert Fehrmann,Snowpark에서 Jupyter Notebook을 시작하고 DataFrame API를 사용하는 방법을 알아보십시오.,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Jul 8, 2024",jdanielmyers
getting_started_with_snowpipe_kr,Snowpipe,https://quickstarts.snowflake.com/guide/getting_started_with_snowpipe_kr/index.html,N/A,이 가이드는 Snowpipe를 시작하는 데 도움이 됩니다.,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Jul 8, 2024",jdanielmyers
getting_started_with_snowsql_kr,SnowSQL,https://quickstarts.snowflake.com/guide/getting_started_with_snowsql_kr/index.html,N/A,SnowSQL 시작하기,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Jul 8, 2024",jdanielmyers
getting_started_with_time_travel_kr,Time Travel,https://quickstarts.snowflake.com/guide/getting_started_with_time_travel_kr/index.html,N/A,Time Travel을 사용하여 이전 데이터베이스 상태를 쿼리하고 데이터를 복구합니다.,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Jul 8, 2024",jdanielmyers
getting_started_with_user_defined_sql_functions_kr,SQL,https://quickstarts.snowflake.com/guide/getting_started_with_user_defined_sql_functions_kr/index.html,Jason West,사용자 정의 SQL 함수 시작하기 가이드,undefined,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,ko,,snowflake-site:taxonomy/product/platform,,,,,,,,,,,,,,,,,,Hidden,"Jul 13, 2022","Jul 8, 2024",jdanielmyers
A Faster Path to Operational AI with Continual and Snowflake,A Faster Path to Operational AI with Continual and Snowflake,https://quickstarts.snowflake.com/guide/A Faster Path to Operational AI with Continual and Snowflake/index.html,b-mckenna,"Build an operational, continually updating predictive model for customer churn with Snowflake and Continual",Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Partner Integrations,"Apps & Collab: External Collaboration, Partner",snowflake-site:taxonomy/snowflake-feature/external-collaboration,,ML,AI - ML Functions,snowflake-site:taxonomy/snowflake-feature/ml-functions,,,,,,,,,,Published,"Aug 9, 2022","Jul 8, 2024",jdanielmyers
python_camouflage,Tokenization in Snowflake Using Python UDFs Python Camouflage,https://quickstarts.snowflake.com/guide/python_camouflage/index.html,Kevin Keller (https,"Project Python Camouflage aims to give a working MVP for tokenization in Snowflake using Python. The problem this aims to solve is allowing customers to obfuscate (or “mask”) PII while at the same time not losing the ability to use that data in joins and other operations where the consistency of the data through operations is required. Python offers libraries to achieve this using encryption, and through the use of Snowflake Python UDFs we can apply that to information in Snowflake natively. As an MVP, this is not meant to offer a complete solution to the problem. Rather, this is a framework that others can embrace and extend.",Cybersecurity,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,architecture-patterns,,,,,,,,,,,,,,,,Published,"Sep 23, 2022","Jul 8, 2024",jdanielmyers
exploratory_data_analysis_with_snowflake_and_deepnote,Exploratory Data Analysis with Snowflake and Deepnote,https://quickstarts.snowflake.com/guide/exploratory_data_analysis_with_snowflake_and_deepnote/index.html,Allan Campopiano,"Deepnote's SQL + Python notebook, along with their suite of low-code tools, allow for rapid data exploration of the Snowflake warehouse.",Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,"Platform, Applications & Collaboration",snowflake-site:taxonomy/product/platform,snowflake-site:taxonomy/product/applications-and-collaboration,Partner Integrations,Partner,,,ML,,,,,,,,,,,,Draft,"Oct 13, 2022","Jul 8, 2024",jdanielmyers
getting_started_snowpark_machine_learning,Machine Learning with Snowpark Python Credit Card Approval Prediction,https://quickstarts.snowflake.com/guide/getting_started_snowpark_machine_learning/index.html,Michael Gorkow,Machine Learning with Snowpark Python for Credit Card Approval Prediction,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/financial-services,en,"AI, Applications & Collaboration",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,App Development,"Apps & Collab: Build, Platform: Financial Operations",snowflake-site:taxonomy/snowflake-feature/build,snowflake-site:taxonomy/snowflake-feature/financial-operations,architecture-patterns,,,,ML,,,,,,,,Published,"Nov 2, 2022","Jul 8, 2024",jdanielmyers
getting_started_with_alation,Learn How Alation Powers Data Intelligence on Snowflake,https://quickstarts.snowflake.com/guide/getting_started_with_alation/index.html,Michael Meyer,"This guide is used to help with the installation of the Alation Data Intelligence Platform. The walk-through consists of being able to find & trust data in your organization, how to actively govern data, and how Alation can help with when migrating data to Snowflake.",Partner Integrations,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,Marketing,Partner,,,,,,,,,,,,,,,Published,"Nov 11, 2022","Jul 8, 2024",jdanielmyers
hex,Building and deploying a time series forecast with Hex Snowflake,https://quickstarts.snowflake.com/guide/hex/index.html,gflomo@hex.tech,This lab will walk you through how to use Snowflake and Hex.,Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,Partner,,,ML,,,,,,,,,,,,Published,"Nov 21, 2022","Jul 8, 2024",jdanielmyers
sap_accounts_receivable_to_snowflake_using_adf,SAP Accounts Receivable to Snowflake using ADF,https://quickstarts.snowflake.com/guide/sap_accounts_receivable_to_snowflake_using_adf/index.html,"sfc-gh-drichert, sfc-gh-ahuck",Extract SAP data using Azure Data Factory and transform accounts receivable data in Snowflake.,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Jan 10, 2023","Jul 8, 2024",jdanielmyers
seamless_ML_workflows_with_snowpark_and_deepnote,Seamless Machine Learning Workflows with Snowpark Deepnote,https://quickstarts.snowflake.com/guide/seamless_ML_workflows_with_snowpark_and_deepnote/index.html,Allan Campopiano,"Prototype your ML models in Deepnote's collaborative, multi-language notebook. Then, use Snowpark to productionize models without moving your data out of the warehouse or changing your code.",Data Science,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,"AI, Data Engineering",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/data-engineering,Partner Integrations,Partner,,,ML,,,,,,,,,,,,Draft,"Jan 13, 2023","Jul 8, 2024",jdanielmyers
transform_your_data_with_coalesce,Accelerate Transformations with Coalesce and Snowflake,https://quickstarts.snowflake.com/guide/transform_your_data_with_coalesce/index.html,Alex Engelmann,Accelerate Transformations with Coalesce and Snowflake,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Partner Integrations,Partner,,,,,,,,,,,,,,,final,"Jan 25, 2023","Jul 8, 2024",jdanielmyers
CDC_SnowpipeStreaming_DynamicTables,Snowpipe Streaming and Dynamic Tables for Real Time Ingestion CDC Use Case,https://quickstarts.snowflake.com/guide/CDC_SnowpipeStreaming_DynamicTables/index.html,steven.maser@snowflake.com,Learn how to use Snowpipe Streaming and Dynamic Tables for Real-Time Streaming (CDC use case),Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/community-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/industrial-iot-data-bridge-using-snowpipe-streaming/,Remove,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Feb 7, 2023","Jul 8, 2024",jdanielmyers
data_engineering_streaming_integration,Streaming Data Integration with Snowflake,https://quickstarts.snowflake.com/guide/data_engineering_streaming_integration/index.html,Dmytro Yaroshenko,Streaming Data Integration with Snowflake,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Feb 27, 2023","Jul 8, 2024",jdanielmyers
getting_started_with_snowpark_for_machine_learning_on_sagemaker,Getting Started with Snowpark for Machine Learning on SageMaker,https://quickstarts.snowflake.com/guide/getting_started_with_snowpark_for_machine_learning_on_sagemaker/index.html,marzillo-snow,This is a qucikstart for using Snowpark for ML on SageMaker,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"AI, Applications & Collaboration",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,Data Science,,,,Data Engineering,,,,App Development,ML,,,,,,,Published,"Mar 2, 2023","Jul 8, 2024",jdanielmyers
snowpark_python_top_three_tips_for_optimal_performance,Snowpark Python Top Three Tips for Optimal Performance,https://quickstarts.snowflake.com/guide/snowpark_python_top_three_tips_for_optimal_performance/index.html,Jonathan Tao and Hanbing Yan,Snowpark Python,Data Engineering,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,,,,,,,,,,,,,,,,Published,"Mar 8, 2023","Jul 8, 2024",jdanielmyers
tasty_bytes_introduction,An Introduction to Tasty Bytes,https://quickstarts.snowflake.com/guide/tasty_bytes_introduction/index.html,Jacob Kranzler,This is the Tasty Bytes Introduction and Data Foundation Quickstart guide,Tasty Bytes,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,,,,,,,,,,,,,,,,Published,"Mar 17, 2023","Jul 8, 2024",jdanielmyers
data_engineering_snowpark_streamlit_inegi,Ingenieria de Datos con Snowpark y visualizaci n con Streamlit,https://quickstarts.snowflake.com/guide/data_engineering_snowpark_streamlit_inegi/index.html,Carlos Suarez,End-to-End from local to cloud using Snowapark Python Streamlit,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,,DE: Transformation,snowflake-site:taxonomy/snowflake-feature/transformation,,,,,,,,,,,,,,Hidden,"Mar 24, 2023","Jul 8, 2024",jdanielmyers
modern_data_stack_with_fivetran_snowflake_salesforce,Fivetran Automate Salesforce Insights Source Target Transformations Dashboard NO CODE,https://quickstarts.snowflake.com/guide/modern_data_stack_with_fivetran_snowflake_salesforce/index.html,David Hrncir,Lab to demonstrate the ease of use to ingest data from Salesforce to Snowflake through Fivetran with insights dashboard from dbt models.,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Marketing,DE: Ingestion,snowflake-site:taxonomy/snowflake-feature/ingestion,,,,,,,,,,,,,,Published,"Apr 3, 2023","Jul 8, 2024",jdanielmyers
data_engineering_with_datastage,A Data Integration Guide Load Banking Data into Snowflake with IBM DataStage,https://quickstarts.snowflake.com/guide/data_engineering_with_datastage/index.html,Shreya Sisodia,Lab to demonstrate ease of loading enterprise data into Snowflake through DataStage.,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Data Engineering,snowflake-site:taxonomy/product/data-engineering,,Getting Started,DE: Ingestion,snowflake-site:taxonomy/snowflake-feature/ingestion,,Data Engineering,,,,Partner Integrations,,,,,,,,Published,"Apr 21, 2023","Jul 8, 2024",jdanielmyers
example_matt_marzillo,Getting Started with Snowpark for Machine Learning on AzureML,https://quickstarts.snowflake.com/guide/example_matt_marzillo/index.html,marzillo-snow,This is a quickstart for using Snowpark for ML on AzureML,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,snowflake-site:taxonomy/solution-center/certification/partner-solution,snowflake-site:taxonomy/solution-center/includes/architecture,https://www.snowflake.com/en/developers/solutions-center/snowpark-for-ml-on-azure-ml/,Remove,,en,"AI, Applications & Collaboration",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,Data Science,,,,Data Engineering,,,,azure,azureML,Snowpark,,,,,,Published,"Apr 25, 2023","Jul 8, 2024",jdanielmyers
geospatial_analytics_with_snowflake_and_carto_ny,Geospatial Analytics for Retail with Snowflake and CARTO,https://quickstarts.snowflake.com/guide/geospatial_analytics_with_snowflake_and_carto_ny/index.html,Oleksii Bielov,This is a sample Snowflake Guide,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/retail-and-cpg,en,Analytics,snowflake-site:taxonomy/product/analytics,,,Analytics: Interactive Analytics,snowflake-site:taxonomy/snowflake-feature/interactive-analytics,,,Analytics - Geospatial,snowflake-site:taxonomy/snowflake-feature/geospatial,,,,,,,,,,Published,"May 11, 2023","Jul 8, 2024",jdanielmyers
geo_analysis_telecom,Geospatial Analytics for Telecom with Snowflake and Carto,https://quickstarts.snowflake.com/guide/geo_analysis_telecom/index.html,Oleksii Bielov,Geospatial Analysis for Telecom with Snowflake and Carto,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/telecom,en,Analytics,snowflake-site:taxonomy/product/analytics,,,Analytics: Interactive Analytics,snowflake-site:taxonomy/snowflake-feature/interactive-analytics,,,Analytics - Geospatial,snowflake-site:taxonomy/snowflake-feature/geospatial,,,,,,,,,,Published,"May 11, 2023","Jul 8, 2024",jdanielmyers
snowflake_build_secure_multitenant_data_applications_snowflake_sigma,Build and Secure Multi Tenant Data Applications with Snowflake and Sigma,https://quickstarts.snowflake.com/guide/snowflake_build_secure_multitenant_data_applications_snowflake_sigma/index.html,Kelsey Hammock,Snowflake Summit 2023 HoL with Sigma,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,Published,"May 23, 2023","Jul 8, 2024",jdanielmyers
leverage_dbt_cloud_to_generate_ml_ready_pipelines_using_snowpark_python,Leverage dbt Cloud to Generate ML ready pipelines using Snowpark python,https://quickstarts.snowflake.com/guide/leverage_dbt_cloud_to_generate_ml_ready_pipelines_using_snowpark_python/index.html,hope-wat,This is a sample Snowflake Guide,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,"Applications & Collaboration, AI",snowflake-site:taxonomy/product/ai,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,Published,"Jun 2, 2023","Jul 8, 2024",jdanielmyers
geo_analysis_geometry,Geospatial Analysis using Geometry and Geography Data Type,https://quickstarts.snowflake.com/guide/geo_analysis_geometry/index.html,"Peter Popov, Oleksii Bielov",This is a sample Snowflake Guide,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Analytics,snowflake-site:taxonomy/product/analytics,,,AI: Unstructured Data Insights,snowflake-site:taxonomy/snowflake-feature/unstructured-data-analysis,,,Analytics - Geospatial,,,,,,,,,,,Published,"Jun 4, 2023","Jul 8, 2024",jdanielmyers
getting_started_with_generative_ai_snowflake_external_functions,Getting Started with Generative AI in Snowflake and Streamlit,https://quickstarts.snowflake.com/guide/getting_started_with_generative_ai_snowflake_external_functions/index.html,Dash Desai,Getting Started with Generative AI in Snowflake and Streamlit,,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,AI,snowflake-site:taxonomy/product/ai,,Getting Started,,,,App Development,,,,,,,,,,,,Published,"Jun 14, 2023","Jul 8, 2024",jdanielmyers
end_to_end_nlp_and_ml_using_snowpark_python_and_streamlit,NLP and ML with Snowpark Python and Streamlit for Sentiment Analysis,https://quickstarts.snowflake.com/guide/end_to_end_nlp_and_ml_using_snowpark_python_and_streamlit/index.html,sfc-gh-imehaddi,This is a sample Snowflake Guide,Getting Started,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,Published,"Jun 15, 2023","Jul 8, 2024",jdanielmyers
altr_get_started,ALTR Quickstart Data Access Control,https://quickstarts.snowflake.com/guide/altr_get_started/index.html,jeff ellerbee,ALTR Quickstart - Data Access Control. Connect ALTR to snowflake and create an automatically enforced role based data access policy.,Cybersecurity,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,,en,Platform,snowflake-site:taxonomy/product/platform,,,"""Platform: Compliance, Security, Discovery & Governance""",snowflake-site:taxonomy/snowflake-feature/compliance-security-discovery-governance,,,,,,,,,,,,,,Published,"Jun 23, 2023","Jul 8, 2024",jdanielmyers
getting_started_with_cybersyn_financial_and_economic_essentials_app,Quickstart Guide Cybersyn Financial Economic Essentials App,https://quickstarts.snowflake.com/guide/getting_started_with_cybersyn_financial_and_economic_essentials_app/index.html,"ashleynagaki, vskarine",How to access and use Cybersyn’s Financial & Economic Essentials App.,Streamlit,snowflake-site:taxonomy/solution-center/certification/quickstart,,,,,snowflake-site:taxonomy/industry/financial-services,en,Applications & Collaboration,snowflake-site:taxonomy/product/applications-and-collaboration,,,,,,,,,,,,,,,,,,Published,"Jun 23, 2023","Jul 8, 2024",jdanielmyers
